actor_name,image_filename,source_url,license,author,notes
Tom Hanks,dataset/raw/Tom_Hanks/Tom_Hanks_003.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/TomHanksForrestGump94.jpg,CC BY-SA 3.0,lakesbutta,Wikimedia Commons candidate image; manually verify before annotation.
Will Smith,dataset/raw/Will_Smith/Will_Smith_005.png,https://upload.wikimedia.org/wikipedia/commons/9/92/Cyril_Smith_%281892%E2%80%931963%29_in_The_Adoption_of_Archibald_2.png,Public domain,Unknown authorUnknown author,Wikimedia Commons candidate image; manually verify before annotation.
Morgan Freeman,dataset/raw/Morgan_Freeman/Morgan_Freeman_002.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Academy_Award-winning_actor_Morgan_Freeman_narrates_for_the_opening_ceremony_%2826904746425%29_%28cropped%29.jpg,Public domain,DoD News Features,Wikimedia Commons candidate image; manually verify before annotation.
Keanu Reeves,dataset/raw/Keanu_Reeves/Keanu_Reeves_001.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Keanu_Reeves_%2825448963336%29_%28cropped%29.jpg,CC BY-SA 2.0,Gordon  Correll,Wikimedia Commons candidate image; manually verify before annotation.
Brad Pitt,dataset/raw/Brad_Pitt/Brad_Pitt_002.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/BradPittBAR08.jpg,CC BY-SA 3.0,Thomas Peter Schulzen,Wikimedia Commons candidate image; manually verify before annotation.
Brad Pitt,dataset/raw/Brad_Pitt/Brad_Pitt_003.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Brad_Pitt-69858.jpg,CC BY-SA 4.0,Harald Krichel,Wikimedia Commons candidate image; manually verify before annotation.
Robert Downey Jr.,dataset/raw/Robert_Downey_Jr/Robert_Downey_Jr_001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Actor_Robert_Downey_Jr._photographed_by_the_California_Department_of_Corrections.jpg,Public domain,California Department of Corrections,Wikimedia Commons candidate image; manually verify before annotation.
Tom Hanks,dataset/raw/Tom_Hanks/Tom_Hanks_013.png,https://upload.wikimedia.org/wikipedia/commons/f/f5/TomHanks1989.png,CC BY 2.0,Alan Light,Wikimedia Commons candidate image; manually verify before annotation.
Tom Hanks,dataset/raw/Tom_Hanks/Tom_Hanks_015.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/TomHanksForrestGump94.jpg,CC BY-SA 3.0,lakesbutta,Wikimedia Commons candidate image; manually verify before annotation.
Denzel Washington,dataset/raw/Denzel_Washington/Denzel_Washington_016.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/42/Denzel_Washington.jpeg,CC BY-SA 3.0,S. Jaud (de:Benutzer:Falkenauge),Wikimedia Commons candidate image; manually verify before annotation.
Denzel Washington,dataset/raw/Denzel_Washington/Denzel_Washington_017.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Denzel_Washington.jpg,CC BY 2.0,Alan Light,Wikimedia Commons candidate image; manually verify before annotation.
Denzel Washington,dataset/raw/Denzel_Washington/Denzel_Washington_020.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Denzel_Washington_%2829479254650%29_%28cropped%29.jpg,CC BY-SA 2.0,GabboT,Wikimedia Commons candidate image; manually verify before annotation.
Will Smith,dataset/raw/Will_Smith/Will_Smith_008.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Jason_Robards_Sr._by_Lewis-Smith.jpg,Public domain,"Lewis-Smith, The Blackstone, Chicago",Wikimedia Commons candidate image; manually verify before annotation.
Leonardo DiCaprio,dataset/raw/Leonardo_DiCaprio/Leonardo_DiCaprio_013.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Leo_Scor_Diaz%28GangsofNY%29-.jpg,CC BY-SA 2.5,Rita Molnár,Wikimedia Commons candidate image; manually verify before annotation.
Leonardo DiCaprio,dataset/raw/Leonardo_DiCaprio/Leonardo_DiCaprio_017.jpeg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Leonardo_DiCaprio.jpeg,CC BY-SA 3.0,Jaud (de:Benutzer:Falkenauge),Wikimedia Commons candidate image; manually verify before annotation.
Leonardo DiCaprio,dataset/raw/Leonardo_DiCaprio/Leonardo_DiCaprio_018.jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Leonardo_DiCaprio.jpg,CC BY 2.0,Greg in Hollywood (Greg Hernandez),Wikimedia Commons candidate image; manually verify before annotation.
Morgan Freeman,dataset/raw/Morgan_Freeman/Morgan_Freeman_003.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Academy_Award-winning_actor_Morgan_Freeman_narrates_for_the_opening_ceremony_%2826904746425%29_%28cropped%29.jpg,Public domain,DoD News Features,Wikimedia Commons candidate image; manually verify before annotation.
Keanu Reeves,dataset/raw/Keanu_Reeves/Keanu_Reeves_016.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Keanu_Reeves_%2825448963336%29_%28cropped%29.jpg,CC BY-SA 2.0,Gordon  Correll,Wikimedia Commons candidate image; manually verify before annotation.
Brad Pitt,dataset/raw/Brad_Pitt/Brad_Pitt_004.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/BradPittBAR08.jpg,CC BY-SA 3.0,Thomas Peter Schulzen,Wikimedia Commons candidate image; manually verify before annotation.
Brad Pitt,dataset/raw/Brad_Pitt/Brad_Pitt_009.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Brad_Pitt-69858.jpg,CC BY-SA 4.0,Harald Krichel,Wikimedia Commons candidate image; manually verify before annotation.
Keanu Reeves,dataset/raw/Keanu_Reeves/Keanu_Reeves_015.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Keanu_Reeves_%2825448963336%29_%28cropped%29.jpg,CC BY-SA 2.0,Gordon  Correll,Wikimedia Commons candidate image; manually verify before annotation.
