actor_name,target_images,current_images,metadata_rows,status,notes
Brad Pitt,100,0,0,Not started,Need public/licensed image sources
Denzel Washington,100,0,0,Not started,Need public/licensed image sources
Johnny Depp,100,0,0,Not started,Need public/licensed image sources
Keanu Reeves,100,0,0,Not started,Need public/licensed image sources
Leonardo DiCaprio,100,0,0,Not started,Need public/licensed image sources
Morgan Freeman,100,0,0,Not started,Need public/licensed image sources
Robert Downey Jr.,100,0,0,Not started,Need public/licensed image sources
Samuel L. Jackson,100,0,0,Not started,Need public/licensed image sources
Tom Hanks,100,0,0,Not started,Need public/licensed image sources
Will Smith,100,0,0,Not started,Need public/licensed image sources
